,name,manufacturer,category,subcategory,feature
0,Hornby 2014 Catalogue,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 2014 catalogue hornby hobbies   model trains & railway sets 
1,FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,FunkyBuys,Hobbies , Model Trains & Railway Sets ,funkybuys® large christmas holiday express festive train set (si-ty1017) toy light / sounds / battery operated & smoke funkybuys hobbies   model trains & railway sets 
2,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,Hobbies , Model Trains & Railway Sets ,classic toy train set track carriages light engine boxed boys kids battery ccf hobbies   model trains & railway sets 
3,HORNBY Coach R4410A BR Hawksworth Corridor 3rd,Hornby,Hobbies , Model Trains & Railway Sets ,hornby coach r4410a br hawksworth corridor 3rd hornby hobbies   model trains & railway sets 
4,Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 0-4-0 gildenlow salt co. steam locomotive model hornby hobbies   model trains & railway sets 
5,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,Generic,Hobbies , Model Trains & Railway Sets ,20pcs model garden light double heads lamppost scale 1:100 generic hobbies   model trains & railway sets 
6,Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 230mm br bogie passenger brake coach model (red) hornby hobbies   model trains & railway sets 
7,Hornby Santa's Express Train Set,Hornby,Hobbies , Model Trains & Railway Sets ,hornby santa's express train set hornby hobbies   model trains & railway sets 
8,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,Hobbies , Model Trains & Railway Sets ,hornby gauge western express digital train set with elink and tts loco train set hornby hobbies   model trains & railway sets 
9,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby gauge railroad mosley tarmacadam locomotive hornby hobbies   model trains & railway sets 
10,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Kato (USA),Hobbies , Model Trains & Railway Sets ,kato (usa) 176-1308 f3b denver & rio grande western kato (usa) hobbies   model trains & railway sets 
11,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,Hobbies , Model Trains & Railway Sets ,bachmann 37-662 14 ton tank wagon pease & partners red bachmann hobbies   model trains & railway sets 
12,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 253mm weathered paviland grange steam locomotive train model hornby hobbies   model trains & railway sets 
13,Kumoyuni 74-0 Shonan Color (Model Train),Kato,Hobbies , Model Trains & Railway Sets ,kumoyuni 74-0 shonan color (model train) kato hobbies   model trains & railway sets 
14,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,Hobbies , Model Trains & Railway Sets ,bachmann 31-588 freightliner class 70 005 powerhaul diesel weathered bachmann hobbies   model trains & railway sets 
15,Preiser 30495 Horse Drawn Wedding Coach (Closed),Preiser,Hobbies , Model Trains & Railway Sets ,preiser 30495 horse drawn wedding coach (closed) preiser hobbies   model trains & railway sets 
16,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,Hobbies , Model Trains & Railway Sets ,preiser 30414 horse drawn liquid manure wagon preiser hobbies   model trains & railway sets 
17,Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Bachmann,Hobbies , Model Trains & Railway Sets ,bachmann class a2 60534 'irish elegance' br lined green early emblem bachmann hobbies   model trains & railway sets 
